group,metric,n,period,post_sig_count,post_sig_pct,trend_sig_count,trend_sig_pct,post_pos_sig_pct,post_neg_sig_pct,trend_pos_sig_pct,trend_neg_sig_pct,post_pos_share_among_sig,trend_pos_share_among_sig,mean_coef_post,median_coef_post,mean_coef_trend,median_coef_trend,mean_coef_post_sig_only,mean_coef_trend_sig_only
Bash,net_added,51,weeks,2,0.0392156862745098,3,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0,0.058823529411764705,0.5,0.0,0.48471866932526764,-0.22808390459446515,-2.8835376434768176,0.0746853684275049,-74.98469736515652,-4.920644649831372
PHP,net_added,2,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,633.0282644054199,633.0282644054199,-782.2408887804099,-782.2408887804099,,
C,net_added,13,weeks,1,0.07692307692307693,1,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,1.0,0.0,-264.56374907457297,-33.03940196754514,-87.7852926144645,0.24196688884850032,989.1363936323918,-406.2273005436472
Dart,net_added,4,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,458.09682847034935,-32.61226556048982,-26.709239465363954,-30.32971229800185,,
CSS,net_added,42,weeks,1,0.023809523809523808,0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,,-40.726245894235795,-18.68043944170863,5.720390901978606,0.7203516373976638,-19.796113451656645,
Elixir,net_added,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,1908.337386820431,1908.337386820431,-80.32401390965245,-80.32401390965245,,
Swift,net_added,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-35.78778622027404,-23.148424116083852,0.07034717331095272,-1.7999703772812157,,
All,net_added,109,weeks,9,0.08256880733944955,11,0.10091743119266056,0.03669724770642202,0.045871559633027525,0.0,0.10091743119266056,0.4444444444444444,0.0,62.721395048891175,-42.47793506375722,28.946521827459705,-35.97056149437183,1554.431292915499,-550.3896227615086
Javascript,net_removed,56,weeks,1,0.017857142857142856,0,0.0,0.017857142857142856,0.0,0.0,0.0,1.0,,-391.7453841227828,-7.150835035160777,390.638150354167,-0.15741595446824536,2058.552650423972,
Python,net_removed,41,weeks,1,0.024390243902439025,2,0.04878048780487805,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0,0.0,-1423.3127130947435,-35.04737748242034,1577.4505502540244,0.15075516954958235,-205.9008514112869,-171.44752808430107
Rust,net_removed,8,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-377.4340633108051,-374.6242390235228,-15.32516938602121,-8.839018984513487,,
HTML,net_removed,24,weeks,1,0.041666666666666664,0,0.0,0.041666666666666664,0.0,0.0,0.0,1.0,,44.28220298282139,-0.7564288330887389,28.018104486035043,0.02661106336218927,5524.909090909088,
Go,net_removed,13,weeks,0,0.0,2,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,,0.0,-913.7917724973764,-7.676297227403383,6.192061673452853,-1.4996833960224556,,-460.47231165301497
Java,net_removed,6,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-127.12871699551918,-114.687114352555,-0.973391719561589,-3.2538132382072478,,
Ocaml,net_removed,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-8088.425586213866,-8088.425586213866,-593.5186689718039,-593.5186689718039,,
Bash,net_removed,46,weeks,2,0.043478260869565216,1,0.021739130434782608,0.043478260869565216,0.0,0.0,0.021739130434782608,1.0,0.0,-7.330710259368311,0.013730253648252458,-0.5184220830492853,-0.12317955435828763,40.189849115602726,-2.2791644214168163
PHP,net_removed,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,2.7895675249646366,2.7895675249646366,0.03608920173230363,0.03608920173230363,,
C,net_removed,12,weeks,0,0.0,2,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,,1.0,-84.71688294313647,-9.88877348379604,86.73489732969394,0.44586639530703376,,3.6464200196666186
Dart,net_removed,6,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,102.86711175538095,-14.933090524424369,-14.255305128093605,-9.623253531171885,,
CSS,net_removed,35,weeks,1,0.02857142857142857,1,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,1.0,-41.27683934908018,-6.220682631201931,-1.2487472940001705,-0.009545614042022066,-141.93212534729818,37.72947845990921
Elixir,net_removed,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-164.03608367300345,-164.03608367300345,-11.555048673192559,-11.555048673192559,,
Swift,net_removed,5,weeks,0,0.0,1,0.2,0.0,0.0,0.2,0.0,,1.0,-0.4179638147721828,-0.08213873820657537,0.2729789974286987,-0.0015489008146768591,,0.05207712428553178
All,net_removed,108,weeks,0,0.0,5,0.046296296296296294,0.0,0.0,0.009259259259259259,0.037037037037037035,,0.2,-431.64839051531646,-29.51570412291323,385.9768586765844,-0.20212775021966467,,-294.22080174972666
