repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
azure-activedirectory-identitymodel-extensions-for-dotnet,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet.git,dev,3172b66dfbc8cf8bc549a62c10968a7b92ba5fa005ee967991011d70,agents.md,6ae21182dd521961dd378233557ff12b8e951868,2025-09-29 14:10:47,2399,33,2432
azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust.git,main,105f591787fed7e167996eb1a6aac396ffd73d00935feadab943a6bd,AGENTS.md,ff01b097da0f92574ddb533a777afce213c5c1a4,2025-10-09 21:45:57,2677,342,3019
bark,https://github.com/finb/bark.git,master,e2697bd51fb3ca0be9b936f7ec502dfd54e1773e9aac41aac626f689,CLAUDE.md,801e727e0528005c82495ecdc24318285e6968eb,2026-01-16 11:37:16,557,10,567
basic-memory,https://github.com/basicmachines-co/basic-memory.git,main,39e840b3887ed98a8bc1502990428b74c2ecdd4795d20d21426872bc,CLAUDE.md,093dab5f03cf7b090a9f4003c55507859bf355b0,2025-02-27 20:48:56,594,518,1112
beads,https://github.com/steveyegge/beads.git,main,be1fb847cbc1f50336a4aaf08808107d026de6ab91f1aad8b48c471b,CLAUDE.md,19cd7d1887e9cff99eed39766efddafe46b808cc,2025-10-12 11:25:29,8,6380,6388
becpg-community,https://github.com/becpg/becpg-community.git,master,900c212afd24856e3e00be1e4eb961315fe616d76ea36a65614b778f,CLAUDE.md,e17ca8026208c85b799a65453968a3f86ae4d68b,2025-08-19 11:36:51,16988,451,17439
bencher,https://github.com/bencherdev/bencher.git,main,903890e8b97b7281746428e8c1b8758f745ef92431e808f5fc34b1dc,CLAUDE.md,2f93420ad2d4b3d17921b5b41397c45a1eee7cbc,2026-01-31 16:03:36,5815,26,5841
biolink-model,https://github.com/biolink/biolink-model.git,master,a6935b393c523b9fa27a2980f2d626833b5a13c76167123f33034cfc,CLAUDE.md,c962f4aa75a1b90cf029eacca4e8a49ed7921174,2025-10-01 15:22:29,3627,306,3933
bit,https://github.com/teambit/bit.git,master,11ba111f8dfd1239da7b9441602b331ef7b185b9b25782b734883d57,CLAUDE.md,dd7164b2e3d42a431eba40f98a355c466847f1a8,2025-07-08 13:54:31,15165,653,15818
blog,https://github.com/huggingface/blog.git,main,d0cfb887359d7158c6c88bae35a5720d2edf5a95f832a9d08d04509e,agents.md,890197db0669e96bdbba0268406927ea94b3431e,2024-05-13 17:42:49,1866,1072,2938
blog,https://github.com/kremalicious/blog.git,main,646dc096feca87dca3d4741884c03b1da6788a78444b0e0494908599,copilot-instructions.md,fc358a849b54de9084529aec4fbf0d3680edb6cb,2025-04-18 23:55:04,1989,103,2092
blog4,https://github.com/tokuhirom/blog4.git,main,7ac5c9d053fe2c9469e57e8d2728a3983b74ff5f11957f9390517f25,CLAUDE.md,d90ec55a3d700ed6671a0fb360e3bb258e8410ef,2025-06-17 11:31:50,372,809,1181
bot,https://github.com/lnp2pbot/bot.git,main,87772b0a5afe9f6ddbcfe2966e740ae23873f49c6322c90cd0cfd2e5,CLAUDE.md,f989cd22814f00503ae1e1975f135a7b2624429b,2025-06-26 16:16:43,1273,47,1320
