extension,file_count,will_include,grouping,description
"""feature""",18,FALSE,,
"""h5""",18,FALSE,,
"""pbxproj""",18,FALSE,,
"""rc""",18,FALSE,,
"""awk""",18,FALSE,,
"""tsp""",18,FALSE,,
"""arb""",18,FALSE,,
"""flow""",18,FALSE,,
"""cls""",18,FALSE,,
"""crc""",18,FALSE,,
"""xcworkspacedata""",17,FALSE,,
"""twig""",17,FALSE,,
"""key""",17,FALSE,,
"""tmlanguage""",17,FALSE,,
"""fbx""",17,FALSE,,
"""fa""",16,FALSE,,
"""swp""",16,FALSE,,
"""shex""",16,FALSE,,
"""mly""",16,FALSE,,
"""conflist""",16,FALSE,,
"""off""",16,FALSE,,
"""rules""",15,FALSE,,
"""babelrc""",15,FALSE,,
"""cursorrules""",15,FALSE,,
"""dot""",15,FALSE,,
"""mllib""",15,FALSE,,
"""cljs""",15,FALSE,,
"""p""",15,FALSE,,
"""pipe""",15,FALSE,,
"""git-blame-ignore-revs""",14,FALSE,,
"""fna""",14,FALSE,,
"""bib""",14,FALSE,,
"""ncrunchproject""",14,FALSE,,
"""bazelrc""",14,FALSE,,
"""json5""",14,FALSE,,
"""applescript""",14,FALSE,,
"""crt""",14,FALSE,,
"""m3u""",14,FALSE,,
"""m4""",14,FALSE,,
"""shader""",14,FALSE,,
"""pdb""",14,FALSE,,
"""local""",13,FALSE,,
"""ascii""",13,FALSE,,
"""targets""",13,FALSE,,
"""diffs""",13,FALSE,,
"""qll""",13,FALSE,,
"""theme""",13,FALSE,,
"""vsix""",13,FALSE,,
"""jq""",13,FALSE,,
"""opam""",13,FALSE,,
"""avsc""",13,FALSE,,
"""xlf""",13,FALSE,,
"""old""",12,FALSE,,
"""ignore""",12,FALSE,,
"""clang-format""",12,FALSE,,
"""gbk""",12,FALSE,,
"""table""",12,FALSE,,
"""obj""",12,FALSE,,
"""address""",12,FALSE,,
"""asm""",12,FALSE,,
"""clib""",12,FALSE,,
"""hjson""",12,FALSE,,
"""zwc""",12,FALSE,,
"""raw""",12,FALSE,,
"""star""",12,FALSE,,
"""timer""",12,FALSE,,
"""mp4""",12,FALSE,,
"""lldb""",12,FALSE,,
"""orig""",11,FALSE,,
"""gb""",11,FALSE,,
"""keep""",11,FALSE,,
"""rake""",11,FALSE,,
"""node-version""",11,FALSE,,
"""jinja""",11,FALSE,,
"""npz""",11,FALSE,,
"""envrc""",11,FALSE,,
"""pro""",11,FALSE,,
"""mmdb""",11,FALSE,,
"""cue""",11,FALSE,,
"""jsonld""",11,FALSE,,
"""slnx""",11,FALSE,,
"""pb""",11,FALSE,,
"""cast""",11,FALSE,,
"""tmux""",11,FALSE,,
"""dev""",11,FALSE,,
"""pth""",11,FALSE,,
"""pfx""",11,FALSE,,
"""cts""",11,FALSE,,
"""mo""",11,FALSE,,
"""do""",11,FALSE,,
"""cs~head""",11,FALSE,,
"""cff""",10,FALSE,,
"""spec""",10,FALSE,,
"""kdl""",10,FALSE,,
"""idx""",10,FALSE,,
"""rtf""",10,FALSE,,
"""fits""",10,FALSE,,
"""helmignore""",10,FALSE,,
"""sbt""",10,FALSE,,
"""resolved""",10,FALSE,,
"""bazel""",10,FALSE,,
"""runner""",10,FALSE,,
"""pkl""",10,FALSE,,
"""zshrc""",10,FALSE,,
"""dicon""",10,FALSE,,
"""nu""",10,FALSE,,
"""xyz""",10,FALSE,,
"""leex""",10,FALSE,,
"""cson""",10,FALSE,,
"""datasource""",10,FALSE,,
"""result_filter""",10,FALSE,,
"""iml""",9,FALSE,,
"""comp""",9,FALSE,,
"""mm""",9,FALSE,,
"""ruby-version""",9,FALSE,,
"""sam""",9,FALSE,,
"""0""",9,FALSE,,
"""code-workspace""",9,FALSE,,
"""jinja2""",9,FALSE,,
"""nims""",9,FALSE,,
"""sqlite""",9,FALSE,,
"""dump""",9,FALSE,,
"""ok""",9,FALSE,,
"""scssc""",9,FALSE,,
"""source""",9,FALSE,,
"""user""",9,FALSE,,
"""pyc""",9,FALSE,,
"""xlsx""",9,FALSE,,
"""mako""",8,FALSE,,
"""clinerules""",8,FALSE,,
"""ron""",8,FALSE,,
"""gemspec""",8,FALSE,,
"""ffn""",8,FALSE,,
"""faa""",8,FALSE,,
"""wxs""",8,FALSE,,
"""feather""",8,FALSE,,
"""desktop""",8,FALSE,,
"""sublime-syntax""",8,FALSE,,
"""rproj""",8,FALSE,,
"""mac""",8,FALSE,,
"""bzl""",8,FALSE,,
"""gitconfig""",8,FALSE,,
"""bashrc""",8,FALSE,,
"""mlpack""",8,FALSE,,
"""swf""",8,FALSE,,
"""safetensors""",8,FALSE,,
"""lmp""",8,FALSE,,
"""gaussianlog""",8,FALSE,,
"""api""",8,FALSE,,
"""sbn""",8,FALSE,,
"""fst""",8,FALSE,,
"""coffee""",8,FALSE,,
"""etl""",8,FALSE,,
"""exe""",8,FALSE,,
"""flake8""",7,FALSE,,
"""production""",7,FALSE,,
"""tab""",7,FALSE,,
"""phtml""",7,FALSE,,
"""lockb""",7,FALSE,,
"""wgsl""",7,FALSE,,
"""graphql""",7,FALSE,,
"""sbpl""",7,FALSE,,
"""onnx""",7,FALSE,,
"""puml""",7,FALSE,,
"""drawio""",7,FALSE,,
"""jfif""",7,FALSE,,
"""bpmn""",7,FALSE,,
"""org""",7,FALSE,,
"""mpw""",7,FALSE,,
"""strings""",7,FALSE,,
"""xib""",7,FALSE,,
"""vimrc""",7,FALSE,,
"""xcsettings""",7,FALSE,,
"""metadata""",7,FALSE,,
"""tcss""",7,FALSE,,
"""rasi""",7,FALSE,,
"""snippets""",7,FALSE,,
"""4""",7,FALSE,,
"""ref""",7,FALSE,,
"""v_""",7,FALSE,,
"""scm""",6,FALSE,,
"""bitmask""",6,FALSE,,
"""2""",6,FALSE,,
"""coveragerc""",6,FALSE,,
"""dmp""",6,FALSE,,
"""accession2taxid""",6,FALSE,,
"""mtl""",6,FALSE,,
"""db-shm""",6,FALSE,,
"""tool-versions""",6,FALSE,,
"""enc""",6,FALSE,,
"""development""",6,FALSE,,
"""browserslistrc""",6,FALSE,,
"""work""",6,FALSE,,
"""psd""",6,FALSE,,
"""bpmn2d""",6,FALSE,,
"""tfm""",6,FALSE,,
"""klv""",6,FALSE,,
"""dist""",6,FALSE,,
"""cnf""",6,FALSE,,
"""jshintrc""",6,FALSE,,
"""inputrc""",6,FALSE,,
"""all-contributorsrc""",6,FALSE,,
"""dlib""",6,FALSE,,
"""sublime-commands""",6,FALSE,,
"""opt_reference""",6,FALSE,,
"""wit""",6,FALSE,,
"""gpg""",6,FALSE,,
"""png2""",6,FALSE,,
"""jade""",6,FALSE,,
"""gro""",6,FALSE,,
"""hdf5""",6,FALSE,,
"""xap""",6,FALSE,,
"""plt""",6,FALSE,,
"""tour""",6,FALSE,,
"""unity""",6,FALSE,,
"""cif""",6,FALSE,,
"""psm1""",6,FALSE,,
"""nupkg""",6,FALSE,,
"""gtpl""",6,FALSE,,
"""partial""",6,FALSE,,
"""mld""",6,FALSE,,
"""amb""",5,FALSE,,
"""ann""",5,FALSE,,
"""bwt""",5,FALSE,,
"""pac""",5,FALSE,,
"""sa""",5,FALSE,,
"""md5""",5,FALSE,,
"""fai""",5,FALSE,,
"""bti""",5,FALSE,,
"""htaccess""",5,FALSE,,
"""repo""",5,FALSE,,
"""tmp""",5,FALSE,,
"""info""",5,FALSE,,
"""db-wal""",5,FALSE,,
"""cursorignore""",5,FALSE,,
"""snyk""",5,FALSE,,
"""vscodeignore""",5,FALSE,,
