group,metric,delay,n_repos,mean_pre,mean_post,mean_diff,median_diff,t_stat,p_value,significant,period
Rust,gross_churn,0,8,4610.3543914237935,4701.124799037728,90.77040761393434,34.36830827067652,0.12530442234193362,0.9038053194871826,False,weeks
Rust,net_added,0,8,2213.25222985348,2176.024327436484,-37.227902416995676,-211.1920289855073,-0.07500935412662045,0.9423059020967242,False,weeks
Rust,net_removed,0,8,347.55577785740826,452.90280100334445,105.34702314593619,20.72380952380953,0.6961171189940404,0.5088017283203008,False,weeks
Rust,net_negative_commits,0,8,-1865.6964519960716,-1723.1215264331397,142.57492556293175,17.527777777777715,0.255524206239799,0.8056638548941266,False,weeks
Rust,add_delete_ratio,0,8,193.32370585975787,4.957027808933989,-188.36667805082385,0.06767541236551289,-1.0026926664126943,0.3494029641404441,False,weeks
Rust,total_commits,0,8,16.173083492594365,16.61820322126386,0.44511972866949934,1.4426942355889723,0.188601913348844,0.8557562264586732,False,weeks
Rust,files_touched_per_commit,0,8,6.392658631640961,6.767413136849838,0.37475450520887627,0.09839283330929516,0.21957236507020733,0.8324697325744669,False,weeks
HTML,gross_churn,0,34,312.873473336068,516.8851262456615,204.0116529095934,1.5694444444444446,0.9942172864780036,0.3273517226536537,False,weeks
HTML,net_added,0,34,240.41850148827842,182.44173568221163,-57.97676580606674,0.0,-0.5024064012142113,0.6187179598353811,False,weeks
HTML,net_removed,0,34,38.277707374463056,318.6069285965499,280.32922122208686,0.013888888888888888,1.1994823843686957,0.2388820500560152,False,weeks
HTML,net_negative_commits,0,34,-202.14079411381533,136.1651929143383,338.30598702815354,0.041666666666666664,1.0821791586064764,0.2870175785351536,False,weeks
HTML,add_delete_ratio,0,34,180.9587567738538,12.842248965157095,-168.11650780869672,-0.06118310586503971,-0.9904537649194827,0.329159549742933,False,weeks
HTML,total_commits,0,34,0.5073202366167022,0.5482183972858798,0.04089816066917748,0.023056478405315613,0.25497161594846485,0.8003273843312475,False,weeks
HTML,files_touched_per_commit,0,34,1.028398066785735,0.7730824985757047,-0.2553155682100303,0.016783559577677198,-1.0943304093504584,0.28173366561529073,False,weeks
Go,gross_churn,0,13,2114.5347313655006,2196.931339173647,82.39660780814617,-186.6111111111111,0.10363797575942545,0.9191685792565706,False,weeks
Go,net_added,0,13,1110.9144728490885,1029.8605497067035,-81.05392314238466,-29.130952380952408,-0.17221344365997163,0.8661400014130557,False,weeks
Go,net_removed,0,13,342.5809337386261,483.18257981334915,140.601646074723,8.17857142857143,0.7085052926759946,0.49216599695870417,False,weeks
Go,net_negative_commits,0,13,-768.3335391104622,-546.6779698933545,221.65556921710765,37.30952380952374,0.45182751633427615,0.6594512865663099,False,weeks
Go,add_delete_ratio,0,13,74.62391691784632,13.502348730274797,-61.12156818757151,-0.5821817472075512,-0.9538258209453835,0.35899127438303086,False,weeks
Go,total_commits,0,13,5.655713659559813,4.808980762826916,-0.8467328967328966,-0.16666666666666607,-0.6844806667848344,0.506676555167529,False,weeks
Go,files_touched_per_commit,0,13,4.109365100075059,4.623586872980455,0.5142217729053948,-0.0027051561365287746,0.3969035421279342,0.698406898540404,False,weeks
Java,gross_churn,0,7,859.7868023479483,688.5042619073889,-171.28254044055925,-14.630219780219818,-0.5562304734485072,0.5981691353487392,False,weeks
Java,net_added,0,7,399.8996100098138,357.4745018956199,-42.42510811419391,-1.5303030303030294,-0.18581818111712614,0.8587101826690031,False,weeks
Java,net_removed,0,7,119.78013781877235,29.61733622984426,-90.16280158892809,-73.1534090909091,-2.6967485721172846,0.03573024486230541,True,weeks
Java,net_negative_commits,0,7,-280.1194721910415,-327.85716566577565,-47.73769347473418,-54.06521739130435,-0.2283045801303149,0.8269913616589665,False,weeks
Java,add_delete_ratio,0,7,8.982645588708754,24.278654543674012,15.296008954965256,0.3273288760438722,0.9775898326530836,0.36603129192486444,False,weeks
Java,total_commits,0,7,3.5732971908173283,2.9640170947303095,-0.6092800960870187,-0.16666666666666669,-0.8054086599287265,0.4513132578457291,False,weeks
Java,files_touched_per_commit,0,7,4.190311229498422,2.669944825205745,-1.5203664042926772,-1.0902734072159603,-1.2956188684173746,0.24271584222410125,False,weeks
Bash,gross_churn,0,57,60.774861534415116,69.73463462214293,8.959773087727806,3.8132343846629557,0.7613522271465968,0.4496410934491213,False,weeks
Bash,net_added,0,57,33.6594200603034,39.559439790744044,5.900019730440647,3.3703703703703694,0.7594201509061327,0.45078630852318125,False,weeks
Bash,net_removed,0,57,12.249744851977226,17.08457692457466,4.834832072597437,0.25,0.7104193974656157,0.48039232000298343,False,weeks
Bash,net_negative_commits,0,57,-21.40967520832617,-22.474862866169385,-1.0651876578432113,-1.3963133640552998,-0.11521428997298684,0.9086874099372811,False,weeks
Bash,add_delete_ratio,0,57,9.953695954611096,13.51655712224481,3.5628611676337165,1.5465524671407023,0.9216282302806396,0.36067614662869385,False,weeks
Bash,total_commits,0,57,0.8460692931134934,0.8342987310636001,-0.011770562049893277,0.07407407407407407,-0.11181263851812646,0.9113717856836203,False,weeks
Bash,files_touched_per_commit,0,57,0.5387363263404742,0.6038433790584585,0.0651070527179844,0.07142857142857142,1.112441943026389,0.2707009789288323,False,weeks
C,gross_churn,0,15,1262.4544801340828,835.6101559228674,-426.84432421121517,1.2033660589060309,-0.8510076385899342,0.4090852700876798,False,weeks
C,net_added,0,15,361.5474634230504,282.6327668143915,-78.9146966086589,-0.1,-0.7841461456088057,0.44601969699125565,False,weeks
C,net_removed,0,15,146.60614714581484,226.68504856751662,80.07890142170173,1.173913043478261,0.3688059241013472,0.7177899433381371,False,weeks
C,net_negative_commits,0,15,-214.94131627723547,-55.947718246874906,158.9935980303607,1.173913043478261,0.5496227833494445,0.5912385352011742,False,weeks
C,add_delete_ratio,0,15,2.063581688629765,33.239929085929376,31.17634739729961,0.09226190476190477,1.1180451824504711,0.28236642349711955,False,weeks
C,total_commits,0,15,3.067789214236419,3.4216077590385603,0.3538185448021417,0.1111111111111111,0.6358294092198457,0.5351440213871943,False,weeks
C,files_touched_per_commit,0,15,4.0271466629774535,1.7739174610844846,-2.253229201892969,0.043478260869565216,-0.9477241981830602,0.3593427060464557,False,weeks
Dart,gross_churn,0,6,643.5346572817161,1346.9447722567288,703.4101149750127,-38.506959706959776,1.0121932294887905,0.3578928711791187,False,weeks
Dart,net_added,0,6,258.9691511647394,581.8068840579709,322.83773289323165,75.38978598128212,1.2226607926060806,0.27594077220662877,False,weeks
Dart,net_removed,0,6,43.17966733702028,101.98995859213251,58.810291255112226,-2.452777777777777,0.7196234116061763,0.5039790123449719,False,weeks
Dart,net_negative_commits,0,6,-215.78948382771912,-479.8169254658385,-264.0274416381194,-100.10573761277088,-1.388240970380688,0.22373737036897648,False,weeks
Dart,add_delete_ratio,0,6,1.962369336351639,31.147753006513813,29.185383670162178,0.8807660360740479,1.196846884562168,0.2850133890548106,False,weeks
Dart,total_commits,0,6,3.2180911680911684,6.912620772946859,3.694529604855692,0.9709249084249085,1.2637746400849994,0.2620271420416743,False,weeks
Dart,files_touched_per_commit,0,6,2.2050932083052825,2.690871914892622,0.48577870658733957,-0.06632648604133401,0.641594329782211,0.5493881590197686,False,weeks
CSS,gross_churn,0,47,62.982224316436096,79.62947503473379,16.647250718297684,2.099999999999998,0.7507164165102947,0.45664654843000513,False,weeks
CSS,net_added,0,47,33.010010286321496,40.13470365134511,7.124693365023615,1.8125,0.4452491946465497,0.658228015868101,False,weeks
CSS,net_removed,0,47,14.032602435054413,15.449670566978726,1.4170681319243144,0.0,0.2515974619776167,0.802472870365005,False,weeks
CSS,net_negative_commits,0,47,-18.97740785126709,-24.685033084366378,-5.7076252330993,0.0,-0.3204275443708468,0.7500953365849239,False,weeks
CSS,add_delete_ratio,0,47,15.295890926325132,19.780793309975863,4.484902383650737,0.2777777777777778,0.35862518984511693,0.7215162455019863,False,weeks
CSS,total_commits,0,47,0.6813332766550092,0.754166038027506,0.07283276137249692,0.10416666666666667,0.5992724884575983,0.551931465333838,False,weeks
CSS,files_touched_per_commit,0,47,0.5142440547403453,0.6240510457100323,0.109806990969687,0.07203751065643649,1.253513672387241,0.21635259664882472,False,weeks
Swift,gross_churn,0,5,13.665646539840088,13.581428571428571,-0.0842179684115159,-6.5,-0.005682202239252636,0.9957383769865149,False,weeks
Swift,net_added,0,5,12.038833746898263,8.276666666666667,-3.7621670802315963,-4.5,-0.36321050133033717,0.7348284922393107,False,weeks
Swift,net_removed,0,5,0.22444168734491315,0.9514285714285716,0.7269868840836582,0.1259600614439324,0.7713758304814538,0.48352300259459424,False,weeks
Swift,net_negative_commits,0,5,-11.81439205955335,-7.325238095238094,4.489153964315254,3.5,0.46492323544599456,0.6661677029075354,False,weeks
Swift,add_delete_ratio,0,5,2.6456321601399466,1.4030798283780517,-1.2425523317618947,-0.09766483516483515,-1.188989530207038,0.30020312209872574,False,weeks
Swift,total_commits,0,5,0.33490488006617036,0.4404761904761905,0.10557131041002007,-0.035330261136712754,0.376134940313308,0.725916062641797,False,weeks
