repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
macondo,https://github.com/domino14/macondo.git,master,d5140a2726f615c320661b661be4b005e16200c735c9ac98b3e090c9,CLAUDE.md,3151b5a804cb21771fe506b626f27f28750314f3,2025-09-20 11:18:59,1750,48,1798
miniwdl,https://github.com/chanzuckerberg/miniwdl.git,main,9e4a284042d70ff730f039a50dae121fb4f70d921bbbfc665ee6677a,CLAUDE.md,e5fa0628a81f8927b219e310b6efbe9227d52d13,2026-02-01 22:00:12,925,1,926
moltbot-agent-ui,https://github.com/grp06/moltbot-agent-ui.git,main,702d062f0415916ad2ed0c83322cdfd371e2e6cdc53fe23e673d8fcf,AGENTS.md,8bc5bf25bce92a58d084ae78b0780f2ddce69a66,2026-01-27 11:39:28,7,609,616
namma_wallet,https://github.com/Namma-Flutter/namma_wallet.git,main,a1c374eba6ab3fd4624ffe22aeffe07f3b5ec7887e87b1711060c47c,CLAUDE.md,29d93ba26a9676c95b0b1f9fe99ed005c988b7c3,2025-09-03 07:52:58,28,796,824
neurolink,https://github.com/juspay/neurolink.git,release,4b35e10298c61086576e4c6f52683fbbe72949176135eca2fd468748,CLAUDE.md,fd8d207a2f9be61e65fd00d697a0456511ece30f,2025-11-27 09:40:11,331,168,499
next,https://github.com/SAGE-3/next.git,main,e47aca3d796e1abf68f9296ce7b4931e8785de4c1442ce3dd9cfdb81,AGENTS.md,265b34b20defb9f7f3f97ab158f5b892410f29bb,2025-12-09 16:26:52,6031,43,6074
nglui,https://github.com/caveconnectome/nglui.git,master,6f1646ffa15d66a69d1ea0fb92f0e95b1ccfad94ff4f42862c531f5c,CLAUDE.md,e68029a870157cd50752e8f1df3b4811158fc27d,2025-08-29 15:35:06,609,43,652
nix-openclaw,https://github.com/openclaw/nix-openclaw.git,main,5e715c6bacf9551e6460e809f3e73c545ca0d475b5e5bc56a1df6315,AGENTS.md,35cdacc5501621906657d1c36a9b72f495939815,2026-01-03 21:35:03,15,777,792
oh-my-opencode,https://github.com/code-yeongyu/oh-my-opencode.git,dev,fd692058e8eb5e6af862ee1e2800686d5166392ff0b66964cb2608b8,AGENTS.md,542c9c39b72a08d8987773cec4bd8ebc6f0250a2,2025-12-05 01:50:02,30,2584,2614
opencode-antigravity-auth,https://github.com/NoeFabris/opencode-antigravity-auth.git,main,48b8bea6989d27f28134aad3a6f3f9942206d0c279c78e21cb326cef,AGENTS.MD,8e58a2474c700f36773b5d829a16419d862dfc2f,2025-12-10 15:18:43,7,607,614
photoprism-docs-de,https://github.com/photoprism/photoprism-docs-de.git,develop,c15630a63907692c25d69271d7afec5cc218c8948e02bc1a0d7a6554,AGENTS.md,541c44ed6522d68a7e375297046ed7b41a9a2e57,2025-12-08 10:58:09,485,14,499
probe,https://github.com/probelabs/probe.git,main,6880d6f4ea0526a448d04d979f7f42b5dc45336b4906066022af41cc,CLAUDE.md,eb8c04fe6399b59d1a9b22083842c1edda0c6ede,2025-02-27 11:13:40,5,831,836
pyodide,https://github.com/pyodide/pyodide.git,main,f7cf12a785b0cab742affd7c218f078f3ce0ca9f6f2f93bc6970e75c,AGENTS.md,0bab3ec6e0a86790b87a8f5ca171b2d77981445a,2025-12-19 11:47:46,4095,40,4135
ralph-tui,https://github.com/subsy/ralph-tui.git,main,379e0ea6e8dbf837c4662b5c9f4dd92eca749091ffd25c173c7ea897,AGENTS.md,1003718e280620658df64d3dab22ce8b99e13140,2026-01-11 10:30:50,0,1236,1236
react-native-auth0,https://github.com/auth0/react-native-auth0.git,master,e37488dc4b2d8f91b401e8920894cf8dc6bae61354dc8ce0fc76bc8a,AGENTS.md,c23e82aa8956d7f5febad2f7ac854f2d5c353d77,2025-12-12 15:07:11,798,25,823
reinhardt-web,https://github.com/kent8192/reinhardt-web.git,main,bb54630c9298e80eefee0eaa9030077522336e27c4869c42c91dd95d,CLAUDE.md,750843c95794ec31c4b40d44c30636f180c309a3,2025-10-19 00:31:43,5,3853,3858
saber,https://github.com/saber-notes/saber.git,main,73c99cdc2db07178738b2021753ea701d57dc26049b8d6b9355b6343,AGENTS.md,a77740bf4b55a962838940f77f763041544bc901,2026-02-02 16:39:11,3869,20,3889
sdk,https://github.com/agentuity/sdk.git,main,14ffcf4b072bf10b9814f246e7c58abcfa90b9db9ba0293b41841f41,AGENTS.md,3f014b9f267858b84fd3e38efceb6eb6a33772eb,2025-10-25 12:44:37,1,970,971
software-agent-sdk,https://github.com/OpenHands/software-agent-sdk.git,main,c3ade3eb40b2285f4b9168042801fbe99496e795b985da7626515c9b,repo.md,f57b26deba81af7249e134f6bf07fe3a99087ad9,2025-08-24 11:11:53,9,1066,1075
supervision,https://github.com/roboflow/supervision.git,develop,1dfa703f0aa59f48aba12760c06db89dd14534ae19017fe654e00c44,AGENTS.md,a00ea2087fdedd4f28ed7644c283ef84601c21c1,2026-02-10 22:58:57,4737,8,4745
tibble,https://github.com/tidyverse/tibble.git,main,061350d185bec73a00b223da39d73708d75a3aea7f3f04fac78f35d5,AGENTS.md,f286a9d8d84a1cdc1dee4a7b0c2018af2a9950e3,2025-11-18 01:05:30,5339,26,5365
vibesdk,https://github.com/cloudflare/vibesdk.git,main,19e139e6879429cf08e13c5decc31311413ef87e1fc1e6d206eadc44,CLAUDE.md,a78cddef42a6330438afd395ee047925221f82c4,2025-09-08 12:10:57,5,852,857
websocket,https://github.com/coder/websocket.git,master,f4ab2e03acf74f577c2dc9b631d239fd09a3834bcabbec05015621dc,AGENTS.md,9f473adfa59519d1e0295cd7a988d965085b701a,2026-01-09 14:58:02,781,0,781
workflow,https://github.com/vercel/workflow.git,main,74a11f41d06f0598fab5a0af17042541807548cc763e08c000f6ec65,CLAUDE.md,4ca9a3edbdcdafef3b91c613ca1763ad7a9d7cea,2025-10-23 12:07:52,5,637,642
